Year,M,Inn,NO,50s,100s,HS,Runs
1989,1,1,0,0,0,0,0
1990,11,10,0,1,0,53,239
1991,14,14,2,4,0,62,417
1992,21,20,2,6,0,84,704
1993,18,17,4,1,0,82,319
1994,25,25,2,9,3,115,1089
1995,12,12,1,1,1,112,444
1996,32,32,2,9,6,137,1611
1997,39,36,3,5,2,117,1011
1998,34,33,4,7,9,143,1894
1999,22,22,2,1,3,186,843
2000,34,34,0,6,3,146,1328
2001,17,16,3,3,4,146,904
2002,20,19,5,3,2,113,741
2003,21,21,1,8,3,152,1141
2004,21,21,1,5,1,141,812
2005,16,16,1,2,1,123,412
2006,16,16,2,3,2,141,628
2007,33,32,2,13,1,100,1425
2008,12,12,1,3,1,117,460
2009,21,20,2,3,3,175,972
2010,2,2,1,0,1,200,204
2011,11,11,0,2,2,120,513
